# LAMMPS data file
18392 atoms
0 bonds
0 angles
0 dihedrals
0 impropers

2 atom types
0 bond types
0 angle types
0 dihedral types
0 improper types

     0.000000 220.0000   xlo xhi
     0.000000 220.0000   ylo yhi
     0.000000 220.0000   zlo zhi

Masses

 1 39.0983   #   K
 2 35.4527   #   Cl  

Atoms

109 1 2 -1 2.926 31.395 27.071 # Cl
110 1 2 -1 5.415 37.781 30.45 # Cl
111 1 2 -1 9.385 39.616 149.809 # Cl
112 1 2 -1 1.849 30.277 83.952 # Cl
113 1 2 -1 2.217 20.367 72.38 # Cl
114 1 2 -1 0.23 29.057 46.484 # Cl
115 1 2 -1 6.859 32.916 177.504 # Cl
116 1 2 -1 9.48 34.042 135.468 # Cl
117 1 2 -1 1.837 37.857 27.428 # Cl
118 1 2 -1 5.148 33.237 35.476 # Cl
119 1 2 -1 1.805 37.409 33.516 # Cl
120 1 2 -1 6.909 31.27 38.025 # Cl
121 1 2 -1 -1.334 31.204 162.852 # Cl
122 1 2 -1 3.144 24.651 82.621 # Cl
123 1 2 -1 10.23 21.917 28.451 # Cl
124 1 2 -1 5.071 32.691 151.821 # Cl
125 1 2 -1 1.919 19.565 6.64 # Cl
126 1 2 -1 7.072 28.087 25.725 # Cl
127 1 2 -1 3.957 36.634 136.978 # Cl
128 1 2 -1 7.689 26.55 4.726 # Cl
129 1 2 -1 3.555 37.971 173.857 # Cl
130 1 2 -1 0.876 24.121 85.375 # Cl
131 1 2 -1 3.367 27.162 140.329 # Cl
132 1 2 -1 6.663 22.785 145.359 # Cl
133 1 1 1 4.482 44.859 160.332 # K
134 1 1 1 2.132 56.216 163.108 # K
135 1 1 1 12.807 50.379 153.034 # K
136 1 1 1 4.79 49.706 81.443 # K
137 1 1 1 3.966 53.511 136.494 # K
138 1 1 1 6.557 48.104 8.303 # K
139 1 1 1 8.458 58.256 27.459 # K
140 1 1 1 7.5 44.493 168.069 # K
141 1 1 1 6.742 58.75 20.654 # K
142 1 1 1 6.978 57.538 44.993 # K
143 1 1 1 9.006 46.957 147.135 # K
144 1 1 1 1.912 45.486 79.484 # K
145 1 1 1 4.942 55.148 172.582 # K
146 1 1 1 5.334 50.096 176.322 # K
147 1 1 1 10.184 46.053 15.036 # K
148 1 1 1 10.78 60.061 155.866 # K
149 1 1 1 -0.007 49.751 81.298 # K
150 1 1 1 8.074 59.602 75.336 # K
151 1 1 1 0.502 49.422 158.52 # K
152 1 1 1 1.186 50.141 166.903 # K
153 1 1 1 9.441 41.356 39.18 # K
154 1 1 1 7.402 41.456 43.284 # K
155 1 1 1 5.081 45.651 99.08 # K
156 1 1 1 5.234 54.003 38.831 # K
157 1 1 1 1.842 47.829 155.854 # K
158 1 1 1 10.111 47.761 78.687 # K
159 1 1 1 0.835 41.572 36.444 # K
160 1 1 1 7.321 45.173 24.033 # K
161 1 1 1 4.176 55.279 8.91 # K
162 1 1 1 9.967 58.327 158.224 # K
163 1 1 1 2.322 43.314 142.996 # K
164 1 1 1 5.35 42.363 169.264 # K
165 1 1 1 3.681 48.054 41.793 # K
166 1 2 -1 4.196 52.376 17.891 # Cl
167 1 2 -1 8.318 41.802 174.167 # Cl
168 1 2 -1 8.304 55.103 12.34 # Cl
169 1 2 -1 6.792 47.541 171.51 # Cl
170 1 2 -1 3.459 48.442 10.135 # Cl
171 1 2 -1 4.445 55.561 21.316 # Cl
172 1 2 -1 8.341 55.519 82.316 # Cl
173 1 2 -1 6.475 43.875 138.27 # Cl
174 1 2 -1 5.214 50.671 165.191 # Cl
175 1 2 -1 2.926 51.395 27.071 # Cl
176 1 2 -1 5.415 57.781 30.45 # Cl
177 1 2 -1 9.385 59.616 149.809 # Cl
178 1 2 -1 1.849 50.277 83.952 # Cl
179 1 2 -1 2.217 40.367 72.38 # Cl
180 1 2 -1 0.23 49.057 46.484 # Cl
181 1 2 -1 6.859 52.916 177.504 # Cl
182 1 2 -1 9.48 54.042 135.468 # Cl
183 1 2 -1 1.837 57.857 27.428 # Cl
184 1 2 -1 5.148 53.237 35.476 # Cl
185 1 2 -1 1.805 57.409 33.516 # Cl
186 1 2 -1 6.909 51.27 38.025 # Cl
187 1 2 -1 -1.334 51.204 162.852 # Cl
188 1 2 -1 3.144 44.651 82.621 # Cl
